"Channel,""Watchtime"",""Streamtime"",""Peakviewers"",""Averageviewers"",""Followers"",""Partnered"",""Mature"",""Language"",""Identity"","""""
"TSM_ImperialHal,""75205185"",""5610"",""28375"",""13406"",""1707481"",""true"",""false"",""English"",""M"","""""
"NICKMERCS,""73832220"",""4650"",""28799"",""15878"",""6601027"",""true"",""false"",""English"",""M"","""""
"HisWattson,""43470570"",""5910"",""12101"",""7355"",""409105"",""true"",""false"",""English"",""M"","""""
"Mande,""28247310"",""5790"",""9101"",""4879"",""357664"",""true"",""false"",""English"",""M"","""""
"ゆきお2 (yukiofps14),""21535005"",""5640"",""8645"",""3818"",""139509"",""true"",""false"",""Japanese"",""M"","""""
"ShivFPS,""13806060"",""3675"",""8858"",""3757"",""1449561"",""true"",""false"",""English"",""M"","""""
"Faide,""13263510"",""2910"",""6624"",""4558"",""678245"",""true"",""false"",""English,""M"""","""""
"Rogue,""12858480"",""4740"",""5469"",""2713"",""776720"",""true"",""false"",""English"",""M"","""""
"加藤純一です (kato_junichi0817),""12839550"",""765"",""25972"",""16784"",""668933"",""false"",""false"",""Japanese"",,""M"""""""
"sweetdreams,""11315115"",""2655"",""8139"",""4262"",""775843"",""true"",""false"",""English"",""M"","""""
"NiceWigg,""9209430"",""3705"",""7313"",""2486"",""626164"",""true"",""false"",""English"",""M"","""""
"aceu,""9022095"",""735"",""17016"",""12275"",""2797903"",""true"",""true"",""English"",""M"","""""
"iiTzTimmy,""8622525"",""1080"",""11011"",""7984"",""2473894"",""true"",""false"",""English"",""M"","""""
"sudetakin,""8492400"",""5490"",""5622"",""1547"",""53436"",""true"",""false"",""Japanese"",""M"","""""
"TSM_Reps,""7911900"",""4830"",""4223"",""1638"",""267360"",""true"",""true"",""English,""M"""","""""
"Snip3down,""7778190"",""2805"",""6077"",""2773"",""604607"",""true"",""true"",""English"",""M"","""""
"おにや (oniyadayo),""7294230"",""1125"",""9569"",""6484"",""198632"",""true"",""false"",""Japanese"",""M"","""""
"Dropped,""7104705"",""3660"",""5026"",""1941"",""302487"",""true"",""true"",""English"",""M"","""""
"chaoticmuch,""7006215"",""6165"",""2145"",""1136"",""147560"",""true"",""false"",""English"",""M"","""""
"Apricot,""6236070"",""1365"",""7167"",""4569"",""365783"",""true"",""true"",""English"",""F"","""""
"stylishnoob4,""6186330"",""405"",""18403"",""15275"",""903081"",""true"",""false"",""Japanese"",""M"","""""
"恭一郎 (dmf_kyochan),""6163320"",""4155"",""2610"",""1483"",""208464"",""true"",""false"",""Japanese"",""M"","""""
"Albralelie,""5647395"",""4230"",""5206"",""1335"",""593895"",""true"",""false"",""English"",""M"","""""
",""YamatoShuhei_"",""5464785"",""1215"",""7038"",""4498"",""20398"",""true"",""false"",""Japanese"",""M"","""""
"Naughty,""5429565"",""9765"",""1317"",""556"",""133492"",""true"",""false"",""English"",""M"","""""
"oraxe,""5337105"",""5175"",""2058"",""1031"",""102634"",""true"",""true"",""French"",""M"","""""
"VERHULST,""5260695"",""4905"",""5395"",""1073"",""228595"",""true"",""false"",""English"",""M"","""""
"김도 (kimdoe),""5158785"",""1275"",""6066"",""4046"",""318468"",""true"",""true"",""Korean"",""M"","""""
