;"""country""";"""continent""";"""lifeExp""";"""pop""";"""gdpPerCap"""
1;"""TSM_ImperialHal""";"""M""";13406;1707481;5610
2;"""NICKMERCS""";"""M""";15878;6601027;4650
3;"""HisWattson""";"""M""";7355;409105;5910
4;"""Mande""";"""M""";4879;357664;5790
5;"""???2 (yukiofps14)""";"""M""";3818;139509;5640
6;"""ShivFPS""";"""M""";3757;1449561;3675
7;"""Faide""";"""M""";4558;678245;2910
8;"""Rogue""";"""M""";2713;776720;4740
9;"""?????? (kato_junichi0817)""";"""M""";16784;668933;765
10;"""sweetdreams""";"""M""";4262;775843;2655
11;"""NiceWigg""";"""M""";2486;626164;3705
12;"""aceu""";"""M""";12275;2797903;735
13;"""iiTzTimmy""";"""M""";7984;2473894;1080
14;"""sudetakin""";"""M""";1547;53436;5490
15;"""TSM_Reps""";"""M""";1638;267360;4830
16;"""Snip3down""";"""M""";2773;604607;2805
17;"""??? (oniyadayo)""";"""M""";6484;198632;1125
18;"""Dropped""";"""M""";1941;302487;3660
19;"""chaoticmuch""";"""M""";1136;147560;6165
20;"""Apricot""";"""F""";4569;365783;1365
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
